Maps: isw_bin0 eucz03_bin0 eucz05_bin0 eucz06_bin0 eucz07_bin0 eucz08_bin0 eucz04_bin0 eucz09_bin0
nbar: -1.000e+00 -1.000e+00 -1.000e+00 -1.000e+00 -1.000e+00 -1.000e+00 -1.000e+00 -1.000e+00
Computed for pairs: isw-isw isw-eucz03 isw-eucz05 isw-eucz06 isw-eucz07 isw-eucz08 isw-eucz04 isw-eucz09 eucz03-eucz03 eucz03-eucz05 eucz03-eucz06 eucz03-eucz07 eucz03-eucz08 eucz03-eucz04 eucz03-eucz09 eucz05-eucz05 eucz05-eucz06 eucz05-eucz07 eucz05-eucz08 eucz05-eucz04 eucz05-eucz09 eucz06-eucz06 eucz06-eucz07 eucz06-eucz08 eucz06-eucz09 eucz07-eucz07 eucz07-eucz08 eucz07-eucz04 eucz07-eucz09 eucz08-eucz08 eucz08-eucz04 eucz08-eucz09 eucz04-eucz04 eucz04-eucz09 eucz09-eucz09
runtag depthtest (iswilk:), lmax=95, eps=1.0e-10,besselmincut=1, besselmaxcut=0
CAMBtag 'fid': Oc=0.259, Ob=0.0486, h0=0.677, w0=-1, ns=0.967, On=0 [OL=1-Om, Oc=Om-Ob-On. epsilon=1e-10]
k-data: kmin=1.000e-05, kmax=1.000e+01, kperlog=300, krcut(add,mult)=(50,20);
##############################
                         isw_bin0                eucz03_bin0             eucz05_bin0             eucz06_bin0             eucz07_bin0             eucz08_bin0             eucz04_bin0             eucz09_bin0             isw_bin0                eucz03_bin0             eucz05_bin0             eucz06_bin0             eucz07_bin0             eucz08_bin0             eucz04_bin0             isw_bin0                eucz03_bin0             eucz05_bin0             eucz06_bin0             eucz07_bin0             eucz08_bin0             isw_bin0                eucz03_bin0             eucz05_bin0             eucz06_bin0             eucz07_bin0             isw_bin0                eucz03_bin0             eucz05_bin0             eucz06_bin0             isw_bin0                eucz03_bin0             eucz05_bin0             isw_bin0                eucz03_bin0             isw_bin0               
 lvals                   isw_bin0                eucz03_bin0             eucz05_bin0             eucz06_bin0             eucz07_bin0             eucz08_bin0             eucz04_bin0             eucz09_bin0             eucz03_bin0             eucz05_bin0             eucz06_bin0             eucz07_bin0             eucz08_bin0             eucz04_bin0             eucz09_bin0             eucz05_bin0             eucz06_bin0             eucz07_bin0             eucz08_bin0             eucz04_bin0             eucz09_bin0             eucz06_bin0             eucz07_bin0             eucz08_bin0             eucz04_bin0             eucz09_bin0             eucz07_bin0             eucz08_bin0             eucz04_bin0             eucz09_bin0             eucz08_bin0             eucz04_bin0             eucz09_bin0             eucz04_bin0             eucz09_bin0             eucz09_bin0            
                      +0 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00
                      +1 +2.5555434751000329e-09 +4.8903847395866775e-06 +7.5283331569802329e-07 +3.8759573667623833e-07 +2.2244563870488286e-07 +1.3840632554815527e-07 +1.7055461833174795e-06 +9.1659709442879744e-08 +6.8107491880365530e-08 +1.6580121098167560e-06 +5.2899172297548928e-07 +2.8900918186007060e-07 +1.7326702153360676e-07 +3.6379172985091249e-07 +2.6619582767501076e-07 +3.3651358222646584e-08 +1.0536818138509737e-06 +3.8066169065130456e-07 +2.1894583133311035e-07 +0.0000000000000000e+00 +1.1147221758725883e-07 +2.5493193460782910e-08 +7.0162136812265788e-07 +2.7990103039508157e-07 +0.0000000000000000e+00 +1.3643818327155008e-07 +1.9956169002220683e-08 +4.8589944776546821e-07 +1.1001529202754388e-06 +1.6831073334316385e-07 +1.6026409847735097e-08 +0.0000000000000000e+00 +2.0988072744302599e-07 +4.6408512760691265e-08 +3.4784679621624556e-07 +1.3138542759747558e-08
                      +2 +5.1969374724940138e-10 +6.5601317534398544e-06 +1.0441620120814945e-06 +5.4123045832841114e-07 +3.1168355676430025e-07 +1.9414676513076806e-07 +2.3372225811776282e-06 +1.2851046519880644e-07 +3.8812889031656406e-08 +2.2995673909505641e-06 +7.3818570077343308e-07 +4.0514120012366130e-07 +2.4335396988539853e-07 +5.2384066327166335e-07 +3.8897273297154958e-07 +1.9527030456065296e-08 +1.4881375759894550e-06 +5.3580683281956730e-07 +3.0885870084964384e-07 +0.0000000000000000e+00 +1.5656876507994601e-07 +1.4822481305168229e-08 +1.0088464782013493e-06 +3.9808354133691525e-07 +0.0000000000000000e+00 +1.9250973342303777e-07 +1.1600458804798910e-08 +7.1092217445298201e-07 +1.5221450137449095e-06 +2.3935441038432812e-07 +9.3007419842168998e-09 +0.0000000000000000e+00 +3.0196633715492529e-07 +2.6777547851746865e-08 +5.1748543292575334e-07 +7.6047808539534383e-09
                      +3 +1.8094908648062270e-10 +7.9168370759399932e-06 +1.3045675064399189e-06 +6.8211326594380503e-07 +3.9508445672460792e-07 +2.4702972674713729e-07 +2.8815311357698676e-06 +1.6390013586641821e-07 +2.5642402707042354e-08 +2.8406973759556574e-06 +9.2733010904265230e-07 +5.1254188279990229e-07 +3.0929613342599129e-07 +6.6587295773328055e-07 +4.9787279040327980e-07 +1.3190234094225071e-08 +1.8562164022804690e-06 +6.7696205477678335e-07 +3.9243488055086104e-07 +0.0000000000000000e+00 +1.9959066913525212e-07 +1.0061779195326967e-08 +1.2694048998669788e-06 +5.0595296680898959e-07 +0.0000000000000000e+00 +2.4549069542816397e-07 +7.8963685441408457e-09 +9.0153575336014884e-07 +1.8917778160468901e-06 +3.0557100298526119e-07 +6.3402258150657962e-09 +0.0000000000000000e+00 +3.8611460992108385e-07 +1.7941630598959335e-08 +6.6090537539722077e-07 +5.1868280363540330e-09
                      +4 +8.1243082782092643e-11 +8.9822607819521238e-06 +1.5310716912670233e-06 +8.0786060703905686e-07 +4.7096906109934788e-07 +2.9584376463841956e-07 +3.3373115247330554e-06 +1.9695752670220057e-07 +1.8349806646452276e-08 +3.2849512707003344e-06 +1.0938295926568933e-06 +6.0925995282203799e-07 +3.6969668535176138e-07 +7.8918578466826685e-07 +5.9256510473458010e-07 +9.6565307852769703e-09 +2.1606683380137499e-06 +8.0213698279632195e-07 +4.6812912381991349e-07 +0.0000000000000000e+00 +2.3951954536508698e-07 +7.4069906812407705e-09 +1.4856902138398694e-06 +6.0203553669763514e-07 +0.0000000000000000e+00 +2.9424022169998493e-07 +5.8343059196364929e-09 +1.0600854654797520e-06 +2.2067631619270342e-06 +3.6575909029773970e-07 +4.6956391361185663e-09 +0.0000000000000000e+00 +4.6127292180708492e-07 +1.3026560215643704e-08 +7.8019919448418574e-07 +3.8482045078791987e-09
                      +5 +4.2437423613110060e-11 +9.7992543153232904e-06 +1.7256074765838004e-06 +9.1877511004810821e-07 +5.3918141002755893e-07 +3.4039431299898745e-07 +3.7131657947714002e-06 +2.2746586262335615e-07 +1.3812876072243019e-08 +3.6442164305934396e-06 +1.2386599301001265e-06 +6.9536204334510483e-07 +4.2439300229977077e-07 +8.9522147190618410e-07 +6.7421499428590126e-07 +7.4303736898131485e-09 +2.4092898514951658e-06 +9.1190338147467588e-07 +5.3592232237195123e-07 +0.0000000000000000e+00 +2.7616258673767122e-07 +5.7310838554384797e-09 +1.6633713381079271e-06 +6.8673538895421689e-07 +0.0000000000000000e+00 +3.3860542668371506e-07 +4.5320121144279458e-09 +1.1907852645759659e-06 +2.4716227595873901e-06 +4.1990015890036631e-07 +3.6590327918547724e-09 +0.0000000000000000e+00 +5.2773394158097262e-07 +9.9366755492308278e-09 +8.7884885345177755e-07 +3.0044542389599397e-09
                      +6 +2.4516494420263336e-11 +1.0409506825128744e-05 +1.8913417094897570e-06 +1.0159766760815542e-06 +6.0014847801096312e-07 +3.8078361056315792e-07 +4.0195258791019902e-06 +2.5547529860210808e-07 +1.0765554318547514e-08 +3.9309254236713807e-06 +1.3637394865824587e-06 +7.7151886723769701e-07 +4.7361927474441172e-07 +9.8585609864197214e-07 +7.4425779086431581e-07 +5.9153561089855477e-09 +2.6101343679981483e-06 +1.0075200323545757e-06 +5.9628935563929043e-07 +0.0000000000000000e+00 +3.0957778994280180e-07 +4.5879153270807556e-09 +1.8079944735339726e-06 +7.6095509578331950e-07 +0.0000000000000000e+00 +3.7873466127680621e-07 +3.6431540490133185e-09 +1.2977050341414733e-06 +2.6922475489799057e-06 +4.6832893336865829e-07 +2.9499001447711891e-09 +0.0000000000000000e+00 +5.8622682102082842e-07 +7.8466888353227074e-09 +9.5978121420280419e-07 +2.4277382860878693e-09
                      +7 +1.5233984115536337e-11 +1.0849109098765482e-05 +2.0316039652095022e-06 +1.1007216429890908e-06 +6.5440433212508334e-07 +4.1729607117929247e-07 +4.2661496676459011e-06 +2.8106823403428600e-07 +8.6082077477913245e-09 +4.1561669872374427e-06 +1.4711484029439526e-06 +8.3858485942956760e-07 +5.1774602721289477e-07 +1.0629240885411206e-06 +8.0408300469651872e-07 +4.8273224697222210e-09 +2.7703602966567785e-06 +1.0904139853586579e-06 +6.4981010064019016e-07 +0.0000000000000000e+00 +3.3993999232181734e-07 +3.7650035881967568e-09 +1.9244683975676154e-06 +8.2571375341810024e-07 +0.0000000000000000e+00 +4.1490266905556720e-07 +3.0014779695761598e-09 +1.3843711974934224e-06 +2.8743654261674615e-06 +5.1147225926277297e-07 +2.4374373542650444e-09 +0.0000000000000000e+00 +6.3748437878761794e-07 +6.3520046834384051e-09 +1.0256967468056825e-06 +2.0109787213541572e-09
                      +8 +9.9933353042070539e-12 +1.1148421536294668e-05 +2.1494305275221031e-06 +1.1742705213863862e-06 +7.0252105237334965e-07 +4.5017862266329546e-07 +4.4615500995370487e-06 +3.0440018045940792e-07 +7.0194195706124355e-09 +4.3293966125656981e-06 +1.5628641318328825e-06 +8.9741996618651378e-07 +5.5718504478129736e-07 +1.1280782619074421e-06 +8.5490413308150482e-07 +4.0147465091763316e-09 +2.8960531371438675e-06 +1.1619360457067772e-06 +6.9710850913640980e-07 +0.0000000000000000e+00 +3.6744961872665836e-07 +3.1477868641154783e-09 +2.0169638553732694e-06 +8.8198121096635788e-07 +0.0000000000000000e+00 +4.4740431847049683e-07 +2.5196995777508886e-09 +1.4537589186161623e-06 +3.0230853848036956e-06 +5.4980273918265810e-07 +2.0522621006822809e-09 +0.0000000000000000e+00 +6.8225283623152706e-07 +5.2431465024854831e-09 +1.0787744970773643e-06 +1.6972291586907504e-09
